Start Year,End Year,Scaling,Regularization,Alpha,Features Removed,MSE,R-Squared,Accuracy,Model Name
2023,2023,False,ridge,100.0,True,87.71235044603539,0.10338043472892933,61.4,model_2023_2023_unscaled_ridge_100_features_removed
2022,2023,False,ridge,100.0,True,87.71235044603539,0.10338043472892933,61.4,model_2022_2023_unscaled_ridge_100_features_removed
2019,2023,False,ridge,100.0,True,87.71235044603539,0.10338043472892933,61.4,model_2019_2023_unscaled_ridge_100_features_removed
2014,2023,False,ridge,100.0,True,87.71235044603539,0.10338043472892933,61.4,model_2014_2023_unscaled_ridge_100_features_removed
2023,2023,True,ridge,10.0,True,87.6870969122582,0.10363858323779618,54.74,model_2023_2023_scaled_ridge_10_features_removed
2022,2023,True,ridge,10.0,True,87.6870969122582,0.10363858323779618,54.74,model_2022_2023_scaled_ridge_10_features_removed
2019,2023,True,ridge,10.0,True,87.6870969122582,0.10363858323779618,54.74,model_2019_2023_scaled_ridge_10_features_removed
2014,2023,True,ridge,10.0,True,87.6870969122582,0.10363858323779618,54.74,model_2014_2023_scaled_ridge_10_features_removed
2023,2023,True,elasticnet,0.01,True,88.46036414057832,0.09573403476122433,52.63,model_2023_2023_scaled_elasticnet_0.01_features_removed
2022,2023,True,elasticnet,0.01,True,88.46036414057832,0.09573403476122433,52.63,model_2022_2023_scaled_elasticnet_0.01_features_removed
2019,2023,True,elasticnet,0.01,True,88.46036414057832,0.09573403476122433,52.63,model_2019_2023_scaled_elasticnet_0.01_features_removed
2014,2023,True,elasticnet,0.01,True,88.46036414057832,0.09573403476122433,52.63,model_2014_2023_scaled_elasticnet_0.01_features_removed
2023,2023,True,ridge,10.0,False,85.87672634823144,0.12214468482831164,52.28,model_2023_2023_scaled_ridge_10_features_included
2022,2023,True,ridge,10.0,False,85.87672634823144,0.12214468482831164,52.28,model_2022_2023_scaled_ridge_10_features_included
2019,2023,True,ridge,10.0,False,85.87672634823144,0.12214468482831164,52.28,model_2019_2023_scaled_ridge_10_features_included
2014,2023,True,ridge,10.0,False,85.87672634823144,0.12214468482831164,52.28,model_2014_2023_scaled_ridge_10_features_included
2023,2023,True,lasso,0.01,True,88.3270696774491,0.097096607112509,49.47,model_2023_2023_scaled_lasso_0.01_features_removed
2022,2023,True,lasso,0.01,True,88.3270696774491,0.097096607112509,49.47,model_2022_2023_scaled_lasso_0.01_features_removed
2019,2023,True,lasso,0.01,True,88.3270696774491,0.097096607112509,49.47,model_2019_2023_scaled_lasso_0.01_features_removed
2014,2023,True,lasso,0.01,True,88.3270696774491,0.097096607112509,49.47,model_2014_2023_scaled_lasso_0.01_features_removed
2023,2023,True,ridge,0.01,False,95.42921345889961,0.02449655663575634,48.77,model_2023_2023_scaled_ridge_0.01_features_included
2022,2023,True,ridge,0.01,False,95.42921345889961,0.02449655663575634,48.77,model_2022_2023_scaled_ridge_0.01_features_included
2019,2023,True,ridge,0.01,False,95.42921345889961,0.02449655663575634,48.77,model_2019_2023_scaled_ridge_0.01_features_included
2014,2023,True,ridge,0.01,False,95.42921345889961,0.02449655663575634,48.77,model_2014_2023_scaled_ridge_0.01_features_included
2023,2023,True,,,True,98.02251481892684,-0.00201287705539821,48.77,model_2023_2023_scaled_none_0_features_removed
2022,2023,True,,,True,98.02251481892684,-0.00201287705539821,48.77,model_2022_2023_scaled_none_0_features_removed
2019,2023,True,,,True,98.02251481892684,-0.00201287705539821,48.77,model_2019_2023_scaled_none_0_features_removed
2014,2023,True,,,True,98.02251481892684,-0.00201287705539821,48.77,model_2014_2023_scaled_none_0_features_removed
2023,2023,True,,,False,97.02810485133588,0.0081522528072564,48.42,model_2023_2023_scaled_none_0_features_included
2022,2023,True,,,False,97.02810485133588,0.0081522528072564,48.42,model_2022_2023_scaled_none_0_features_included
2019,2023,True,,,False,97.02810485133588,0.0081522528072564,48.42,model_2019_2023_scaled_none_0_features_included
2014,2023,True,,,False,97.02810485133588,0.0081522528072564,48.42,model_2014_2023_scaled_none_0_features_included
2023,2023,True,ridge,0.01,True,97.39469516414057,0.004404866661199769,48.42,model_2023_2023_scaled_ridge_0.01_features_removed
2022,2023,True,ridge,0.01,True,97.39469516414057,0.004404866661199769,48.42,model_2022_2023_scaled_ridge_0.01_features_removed
2019,2023,True,ridge,0.01,True,97.39469516414057,0.004404866661199769,48.42,model_2019_2023_scaled_ridge_0.01_features_removed
2014,2023,True,ridge,0.01,True,97.39469516414057,0.004404866661199769,48.42,model_2014_2023_scaled_ridge_0.01_features_removed
2023,2023,True,lasso,10.0,True,97.90298913603412,-0.000791052930414482,48.42,model_2023_2023_scaled_lasso_10_features_removed
2023,2023,True,lasso,10.0,False,97.90298913603412,-0.000791052930414482,48.42,model_2023_2023_scaled_lasso_10_features_included
2023,2023,True,lasso,100.0,True,97.90298913603412,-0.000791052930414482,48.42,model_2023_2023_scaled_lasso_100_features_removed
2023,2023,True,lasso,100.0,False,97.90298913603412,-0.000791052930414482,48.42,model_2023_2023_scaled_lasso_100_features_included
2023,2023,True,elasticnet,10.0,True,97.90298913603412,-0.000791052930414482,48.42,model_2023_2023_scaled_elasticnet_10_features_removed
2023,2023,True,elasticnet,10.0,False,97.90298913603412,-0.000791052930414482,48.42,model_2023_2023_scaled_elasticnet_10_features_included
2023,2023,True,elasticnet,100.0,True,97.90298913603412,-0.000791052930414482,48.42,model_2023_2023_scaled_elasticnet_100_features_removed
2023,2023,True,elasticnet,100.0,False,97.90298913603412,-0.000791052930414482,48.42,model_2023_2023_scaled_elasticnet_100_features_included
2022,2023,True,lasso,10.0,True,97.90298913603412,-0.000791052930414482,48.42,model_2022_2023_scaled_lasso_10_features_removed
2022,2023,True,lasso,10.0,False,97.90298913603412,-0.000791052930414482,48.42,model_2022_2023_scaled_lasso_10_features_included
